path	bytes	md5
non_roster_dirs.tsv	668	aa474a92332763c8c8dc7b2b3873753e
logs/w0/audit_cpu.log.gz	2229	0ea34e27dd5935369e98cd599a7702fa
logs/w0/disk_guard.log.gz	2733	7f5af95b7f82a9c80a3a0dec08e3d146
logs/w0/evalq/evalq_exp_refill.log.gz	3561	d1f3b7c3841fb5f1a48047fc75008751
logs/w0/evalw/evalw_w0_foreign_gpu0.log.gz	3407	a9ebeadccafb443b5067e4b098de9719
logs/w0/evalw/evalw_w0_foreign_gpu1.log.gz	3580	401db7f61147b7972278c0069d8adbd1
logs/w0/evalw/evalw_w0_foreign_gpu2.log.gz	3432	07a4564261d80cb70bcff3445e8982da
logs/w0/evalw/evalw_w0_foreign_gpu3.log.gz	28753	9a362b0a7e16ec20ca481f1224cc4f67
logs/w0/evalw/evalw_w0_foreign_gpu4.log.gz	3577	fa6379962cf5d028fb4af246dfabc149
logs/w0/evalw/evalw_w0_foreign_gpu5.log.gz	3567	103540cc0dedb0d7089a960381697de2
logs/w0/evalw/evalw_w0_foreign_gpu6.log.gz	3636	a0c0961d9b1cfd2ee2ab01e4f6744e3a
logs/w0/evalw/evalw_w0_foreign_gpu7.log.gz	9438	f93ded4fadb9ffc6bd9f608dd14aef64
logs/w0/evalw/evalw_w0_gpu0.log.gz	27528	6e7118401e82a96fecd332b17b3e31c3
logs/w0/evalw/evalw_w0_gpu1.log.gz	27270	84f72bc118806e840c4b2a316c77ec31
logs/w0/evalw/evalw_w0_gpu2.log.gz	44435	588ab4d1ab631e6037becc7e5cd9e347
logs/w0/evalw/evalw_w0_gpu3.log.gz	74697	e2ed273f59a8d98e780207b1de2ce0b0
logs/w0/evalw/evalw_w0_gpu4.log.gz	102123	22258d74ec7955591485fbeecb672ab5
logs/w0/evalw/evalw_w0_gpu5.log.gz	128190	5e9582984161e729229627ed32322651
logs/w0/evalw/evalw_w0_gpu6.log.gz	42983	39d06e14c21bf659bf925feaefb9c0f9
logs/w0/evalw/evalw_w0_gpu7.log.gz	142212	edc5e1124afefb222ef5566aa0c1c7c9
logs/w0/export_train_w0.log.gz	308	77909d8ba135a24e951958cb889b3508
logs/w0/extra_cells.tsv.gz	443	10ad4ce91968d25c72bb144b93dd688e
logs/w0/extra.log.gz	364	46d94019c0dcedda79754ef34f17c511
logs/w0/gpu_guard.log.gz	4256	f630ae387ac38bda41fec4b98e1f37f5
logs/w0/holder_guard.log.gz	239	fb9bd8a07077b238bf025cc5eede4b00
logs/w0/lane_handoff.log.gz	37	3a527d164e24dc6746ae12bd41efd458
logs/w0/lanes/lane0_20260919_072850.log.gz	19377	6f00fdcdb5d7de5a9bcf7abd596b19ac
logs/w0/lanes/lane1_20260919_072850.log.gz	19028	e70cdb67c1a0e75416e2bc91e0484ae9
logs/w0/lanes/retrain_lane_node_w0.log.gz	781	de6d0ee69e412e4fe4f5f19707cbeda3
logs/w0/node_eval.log.gz	1340	a4c43badcf7432b607ef82873f4d291a
logs/w0/node_run.log.gz	195	fd71277941bf0813b82a0902a080d805
logs/w0/offload.log.gz	1753	411dc6c6d3298592c4a595b308f58a5e
logs/w0/offload_state.tsv.gz	352	800d369f490f60f6182d1891fe66dd95
logs/w0/rehearsal_w0.log.gz	443	422a0b091e8de8ec254e08bd87a11dc7
logs/w0/replan_w0.log.gz	369	a484beac14b85cacd2d56ac3d516d00d
logs/w0/split.log.gz	393	6951306ae264b9c4f6029412ecf73c42
logs/w0/sync.log.gz	69	807a5568d70758cb35bf464d2f34b396
logs/w0/train_launch.log.gz	339	e66e5f8609fc4cf57c8d54b65c5b1a43
logs/w0/traj_sample.log.gz	533	2886b4e7ce6bd72281f8d048bcdb28d1
logs/w0/wandb_fast.log.gz	1119	829d2a2efe9fabf89c29f8e50f672a8b
logs/w0/wandb_first_push.log.gz	192	510c7b942098d118014e26814f01d89b
logs/w0/wandb_sync.log.gz	4772	fd3bdc767ad97c4d887a166888624d6d
logs/w1/a_axis_gate.log.gz	313	fe1955c3e81a76c2dadd7289179e9989
logs/w1/disk_cleanup_candidates.txt.gz	587	e722ca8161efe83167f882cb3d5500e5
logs/w1/disk_guard.log.gz	2438	5d0471355005740623a4808f4409e504
logs/w1/evalq/evalq_exp_refill.log.gz	3843	8d094fa80698ba9274c163afd0251d00
logs/w1/evalw/evalw_w1_foreign_gpu0.log.gz	2209	cfe582398c180c51445b742478e87c60
logs/w1/evalw/evalw_w1_foreign_gpu1.log.gz	2346	dfd5f929f953289f1c1e2f5e9ea28229
logs/w1/evalw/evalw_w1_foreign_gpu4.log.gz	1948	5b531f3d1fa27265434951c5f36ad30b
logs/w1/evalw/evalw_w1_foreign_gpu5.log.gz	18495	951a5c613ca9de2a01b5a3c36287230b
logs/w1/evalw/evalw_w1_foreign_gpu6.log.gz	2518	ad5b2f592d7e111e64fa1f3e4c7ca0dd
logs/w1/evalw/evalw_w1_foreign_gpu7.log.gz	2480	a0a1d87bdb70f4a6c72de94ab63991f7
logs/w1/evalw/evalw_w1_gpu0.log.gz	70147	2a6c2134a213688d8995120921d3f461
logs/w1/evalw/evalw_w1_gpu1.log.gz	92469	ef6138f076574e358bb1d15d47b88099
logs/w1/evalw/evalw_w1_gpu2.log.gz	12726	a900e8e7f0c6d7acd09b15b174cd0cd0
logs/w1/evalw/evalw_w1_gpu3.log.gz	12376	ab9293bd6aeed8c5197d90c3196465eb
logs/w1/evalw/evalw_w1_gpu4.log.gz	61017	348733ad16131587048ac314b41f014d
logs/w1/evalw/evalw_w1_gpu5.log.gz	32454	0998edb7f0c821ebc5e34adad1340c88
logs/w1/evalw/evalw_w1_gpu6.log.gz	51570	e9e7b112e0dd3746ccacb5ff20e5deb1
logs/w1/evalw/evalw_w1_gpu7.log.gz	70060	774cc01cac91d271a8e8954de1fa1f22
logs/w1/export_train_w1.log.gz	332	aaacd0c962083f4b06e79ba8d2126e84
logs/w1/gpu_guard.log.gz	6055	23905465e91894bff3a804dfcc8f5eec
logs/w1/gpu_guard_manual.log.gz	400	0084f21d80973b8db360247675ce47c4
logs/w1/holder_guard.log.gz	193	838f9f90a06881c20745bfaf3b6dd9d3
logs/w1/lane_handoff.log.gz	157	2a9e4aa57e6a595c6aedc48ac1c4b358
logs/w1/lanes/lane0_20260919_072914.log.gz	62045	e6878b286ce1bf823ef6a6c3fe402944
logs/w1/lanes/lane1_20260919_072914.log.gz	178485	ca589bccd3a56325778c80f35bf557e5
logs/w1/lanes/lane2_20260919_072914.log.gz	56775	757eff74b8a41a228e251267ebeb3b04
logs/w1/lanes/retrain_lane_node_w1.log.gz	974	92b91f36d9b5243e159a9b31b0d50ac2
logs/w1/node_eval.log.gz	1428	c7a5b8c648d65151b6bb2e734eb70b67
logs/w1/node_run.log.gz	195	61d342ee32e252639e57e33b4be79fb7
logs/w1/train_launch.log.gz	401	3fd2b9e53888089c067b57c48ca45f68
logs/w1/traj_sample.log.gz	732	72c4ec66232aa624fc03a619559c4e1a
logs/w1/wandb_live_ids.txt.gz	39	57d041f9d5b41f8f57a1293fd78c9e09
logs/w1/wandb_live.log.gz	277	2999360f077382ab754292afaee22cde
logs/w1/yield_holder.err.gz	37	fd2409e66eb2b9039a79af3fb12b78e4
logs/w2/disk_guard.log.gz	2403	3a86834fc4e23b3d66550bef2d6585a4
logs/w2/evalq/evalq_exp_refill.log.gz	3402	39c7d12b8ff6b9bb36440e112091a10d
logs/w2/evalq/evalq_foreign_failed/h4_random_scatter_corr_s0__100.gz	114	066e973a34c422c2527532248a261690
logs/w2/evalw/evalw_w2_foreign_gpu0.log.gz	27153	f9cd23a9f5343a35c2c5d5c40e4095cb
logs/w2/evalw/evalw_w2_foreign_gpu1.log.gz	26654	df6181169514314390d248258c281f92
logs/w2/evalw/evalw_w2_foreign_gpu2.log.gz	3561	ec573e911321dd2753a48a84cdc4cf27
logs/w2/evalw/evalw_w2_foreign_gpu3.log.gz	45073	a71aa02108027a78483a3740b367ad09
logs/w2/evalw/evalw_w2_foreign_gpu4.log.gz	33820	35d54dbc2d26397fee622d0163014520
logs/w2/evalw/evalw_w2_foreign_gpu5.log.gz	80699	478d7a0989b4c22be897ae067e6d4311
logs/w2/evalw/evalw_w2_foreign_gpu6.log.gz	33934	7f44c67205b1f4a02237cb23bf24bd13
logs/w2/evalw/evalw_w2_foreign_gpu7.log.gz	2852	a53631ad531cc930046219309b1f2e82
logs/w2/evalw/evalw_w2_gpu0.log.gz	84104	e88d66ad7e63b73dc67b9a5c90c42f33
logs/w2/evalw/evalw_w2_gpu1.log.gz	93019	6f1b26aa5620380796f5c425cdad384a
logs/w2/evalw/evalw_w2_gpu2.log.gz	100937	99a28d26887c8a119e3490058930982a
logs/w2/evalw/evalw_w2_gpu3.log.gz	89112	a1f9dafb94284509217d8ab41fd15459
